m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_ks_2samp,omni_precision_mannwhitneyu,omni_precision_ttest_ind,omni_recall_ks_2samp,omni_recall_mannwhitneyu,omni_recall_ttest_ind
65,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.42,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.44,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.46,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.48,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.52,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.54,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.56,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.58,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.6,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.62,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.64,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.66,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.68,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.7000000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.72,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.74,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.76,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.78,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.8,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.8200000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.84,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.86,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.88,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.9,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.92,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.9400000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.96,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,0.98,0,1.0,1.0,1.0,1.0,1.0,1.0
65,0,0,0.25,0.25,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.0,0,0.22,0.28,0.24,0.22,0.28,0.24
70,0,0,0.25,0.25,0.02,0,0.98,0.98,0.98,0.98,0.98,0.98
70,0,0,0.25,0.25,0.04,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.06,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.08,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.12,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.14,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.16,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.18,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.22,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.24,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.26,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.42,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.44,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.46,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.48,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.52,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.54,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.56,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.58,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.6,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.62,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.64,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.66,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.68,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.7000000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.72,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.74,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.76,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.78,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.8,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.8200000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.84,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.86,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.88,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.9,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.92,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.9400000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.96,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,0.98,0,1.0,1.0,1.0,1.0,1.0,1.0
70,0,0,0.25,0.25,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.0,0,0.34,0.36,0.4,0.34,0.36,0.4
75,0,0,0.25,0.25,0.02,0,0.94,0.96,0.96,0.94,0.96,0.96
75,0,0,0.25,0.25,0.04,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.06,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.08,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.12,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.14,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.16,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.18,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.22,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.24,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.26,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.42,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.44,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.46,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.48,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.52,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.54,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.56,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.58,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.6,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.62,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.64,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.66,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.68,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.7000000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.72,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.74,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.76,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.78,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.8,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.8200000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.84,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.86,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.88,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.9,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.92,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.9400000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.96,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,0.98,0,1.0,1.0,1.0,1.0,1.0,1.0
75,0,0,0.25,0.25,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.0,0,0.42,0.36,0.34,0.42,0.36,0.34
80,0,0,0.25,0.25,0.02,0,0.96,0.98,0.98,0.96,0.98,0.98
80,0,0,0.25,0.25,0.04,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.06,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.08,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.12,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.14,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.16,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.18,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.22,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.24,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.26,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.42,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.44,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.46,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.48,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.52,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.54,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.56,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.58,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.6,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.62,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.64,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.66,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.68,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.7000000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.72,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.74,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.76,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.78,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.8,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.8200000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.84,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.86,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.88,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.9,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.92,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.9400000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.96,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,0.98,0,1.0,1.0,1.0,1.0,1.0,1.0
80,0,0,0.25,0.25,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.0,0,0.38,0.32,0.3,0.38,0.32,0.3
85,0,0,0.25,0.25,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.04,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.06,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.08,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.12,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.14,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.16,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.18,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.22,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.24,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.26,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.42,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.44,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.46,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.48,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.52,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.54,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.56,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.58,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.6,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.62,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.64,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.66,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.68,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.7000000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.72,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.74,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.76,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.78,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.8,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.8200000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.84,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.86,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.88,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.9,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.92,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.9400000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.96,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,0.98,0,1.0,1.0,1.0,1.0,1.0,1.0
85,0,0,0.25,0.25,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.0,0,0.34,0.4,0.36,0.34,0.4,0.36
90,0,0,0.25,0.25,0.02,0,0.92,1.0,1.0,0.92,1.0,1.0
90,0,0,0.25,0.25,0.04,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.06,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.08,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.12,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.14,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.16,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.18,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.22,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.24,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.26,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.42,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.44,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.46,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.48,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.52,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.54,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.56,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.58,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.6,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.62,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.64,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.66,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.68,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.7000000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.72,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.74,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.76,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.78,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.8,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.8200000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.84,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.86,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.88,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.9,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.92,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.9400000000000001,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.96,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,0.98,0,1.0,1.0,1.0,1.0,1.0,1.0
90,0,0,0.25,0.25,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.0,0,0.24,0.32,0.32,0.24,0.32,0.32
95,0,0,0.25,0.25,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.04,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.06,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.08,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.12,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.14,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.16,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.18,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.22,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.24,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.26,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.28,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.32,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.34,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.36,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.38,0,1.0,1.0,1.0,1.0,1.0,1.0
95,0,0,0.25,0.25,0.4,0,1.0,1.0,1.0,1.0,1.0,1.0
